PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,Mr William Davis,male,22.04,1,0,PC_00001,83.38,,Q
2,0,3,Mr George Wilson,male,53.33,0,0,A_00002,26.8,,S
3,1,2,Mr James Wilson,male,49.74,1,0,A_00003,49.44,,C
4,0,2,Mr George Miller,male,38.1,0,0,A_00004,38.95,,S
5,1,1,Mr William Jones,male,22.95,0,2,A_00005,144.96,,S
6,0,3,Mr Robert Jones,male,28.36,1,0,A_00006,38.39,,S
7,0,1,Mrs Margaret Williams,female,38.43,0,0,A_00007,30.18,F77,S
8,0,3,Mr James Jones,male,17.45,0,2,PC_00008,417.64,E21,S
9,1,1,Mr George Brown,male,36.33,0,0,A_00009,55.5,,S
10,1,3,Mr John Brown,male,46.5,0,0,PC_00010,10.89,C19,S
11,0,3,Mr George Davis,male,28.24,1,1,A_00011,119.41,,S
12,1,3,Mr Edward Johnson,male,39.42,0,0,A_00012,43.55,,C
13,0,3,Mr Edward Wilson,male,39.05,0,0,PC_00013,79.33,,S
14,0,3,Miss Alice Williams,female,36.57,0,0,PC_00014,20.1,,C
15,0,3,Mr James Brown,male,0.42,0,0,PC_00015,145.67,F77,S
16,1,2,Miss Margaret Williams,female,35.66,0,0,A_00016,101.37,,S
17,1,2,Miss Margaret Brown,female,44.66,0,0,A_00017,333.81,,C
18,0,3,Mr Charles Smith,male,47.9,0,0,PC_00018,33.51,,C
19,0,3,Mr James Brown,male,11.33,0,0,A_00019,16.4,,S
20,0,2,Mr George Brown,male,21.45,1,0,PC_00020,81.49,,S
21,1,1,Miss Margaret Jones,female,40.08,1,0,A_00021,62.19,,Q
22,1,2,Mr George Miller,male,43.31,0,3,A_00022,41.43,,Q
23,1,1,Mrs Anna Johnson,female,25.8,1,0,A_00023,44.44,,S
24,1,2,Mr Charles Miller,male,25.67,0,0,A_00024,61.47,,C
25,1,1,Mr William Wilson,male,30.01,0,1,A_00025,189.23,,Q
26,0,2,Mrs Emma Davis,female,35.45,0,0,PC_00026,36.33,,S
27,0,3,Mr Robert Davis,male,45.71,0,0,A_00027,92.15,,S
28,1,3,Miss Margaret Brown,female,28.18,0,0,PC_00028,198.19,,S
29,1,3,Mr Edward Smith,male,7.91,1,0,A_00029,80.58,,S
30,1,2,Mr William Jones,male,14.56,1,2,A_00030,82.81,C104,S
31,1,3,Miss Margaret Brown,female,37.81,0,0,A_00031,25.16,,S
32,1,3,Mr Edward Smith,male,47.73,1,0,A_00032,22.18,D30,C
33,1,3,Mr George Davis,male,49.55,0,0,A_00033,239.34,,C
34,1,1,Miss Alice Miller,female,32.4,1,1,PC_00034,126.5,,S
35,1,1,Mr Charles Wilson,male,28.58,0,2,A_00035,91.1,,C
36,0,3,Mr James Jones,male,19.33,1,0,A_00036,149.8,,S
37,1,3,Mr James Miller,male,27.87,1,0,A_00037,97.9,,C
38,1,2,Mrs Elisabeth Brown,female,15.32,0,0,PC_00038,31.77,,C
39,0,3,Miss Mary Jones,female,29.83,0,0,A_00039,49.37,D27,C
40,1,3,Mr James Johnson,male,27.69,0,0,A_00040,23.27,D58,C
41,1,3,Mr George Brown,male,42.96,0,0,PC_00041,117.29,B45,S
42,1,3,Mr James Brown,male,21.93,0,0,A_00042,59.32,,S
43,0,3,Mrs Sarah Wilson,female,17.41,1,0,A_00043,59.4,,S
44,0,3,Mrs Sarah Smith,female,31.56,0,0,A_00044,285.92,E114,C
45,0,3,Mr George Wilson,male,34.61,0,0,PC_00045,69.59,,S
46,0,3,Mr Robert Smith,male,27.42,0,3,PC_00046,79.93,,S
47,0,3,Mr William Williams,male,36.84,0,2,A_00047,86.62,D24,C
48,1,1,Miss Elisabeth Davis,female,33.19,2,0,PC_00048,165.56,,S
49,0,3,Mr Edward Williams,male,41.89,1,0,A_00049,3.2,,S
50,1,2,Miss Alice Davis,female,0.42,1,4,A_00050,51.21,,S
51,0,3,Miss Anna Williams,female,28.88,0,0,A_00051,299.21,,S
52,1,1,Mr George Wilson,male,46.04,1,0,A_00052,274.42,A61,S
53,1,3,Mrs Margaret Miller,female,27.24,0,1,A_00053,87.75,E106,S
